id,prediction,ground_truth,correct
Q01,2,2,True
Q02,3,3,True
Q03,1,2,False
Q04,1,1,True
Q05,1,2,False
Q06,1,2,False
Q07,1,1,True
Q08,2,2,True
Q09,1,1,True
Q10,1,2,False
Q11,1,2,False
Q12,1,2,False
Q13,2,1,False
Q14,1,2,False
Q15,1,2,False
Q16,1,1,True
Q17,1,1,True
Q18,1,1,True
Q19,1,2,False
Q20,1,3,False
Q21,1,2,False
Q22,1,1,True
Q23,2,1,False
Q24,1,2,False
Q25,1,2,False
Q26,1,2,False
Q27,1,2,False
Q28,1,1,True
Q29,1,1,True
Q30,2,1,False
Q31,1,1,True
Q32,1,1,True
Q33,1,1,True
Q34,1,2,False
Q35,2,1,False
Q36,1,2,False
Q37,1,2,False
Q38,1,1,True
Q39,1,2,False
Q40,1,2,False
Q41,1,2,False
Q42,1,1,True
Q43,1,1,True
Q44,1,2,False
Q45,1,2,False
Q46,1,1,True
Q47,1,1,True
Q48,2,2,True
Q49,1,4,False
Q50,2,2,True
